QuestionID,Company,Role,Perspective,Difficulty,Topic,Question,Expected_Concepts,Keywords
SD028,Zomato,Cloud Engineer,System Design,Hard,Consistency Models,Explain how you would design a system with eventual consistency.,Consistency Models;Eventual Consistency;Replication;Latency,"consistency,eventual,replication"
HR001,Google,Software Engineer,HR,Easy,Introduction,Can you tell me about yourself?,Communication;Self Awareness;Professional Values;Confidence,"introduction,self awareness,communication"
AI079,Oracle,AI Engineer,AI/ML,Medium,Zero-Shot Learning,How do semantic attribute spaces or word vectors bridge the gap between seen classes and completely unseen classes in visual zero-shot learning frameworks?,Zero-shot learning;Semantic attribute space;Knowledge transfer;Seen vs unseen classes;Visual-semantic projection,"zero-shot,transfer learning,computer vision"
BH041,Oracle,Data Scientist,Behavioral,Easy,Customer Obsession,Share how you ensured your analysis aligned with customer needs.,Customer Obsession;Empathy;Problem Solving;Accountability,"customer obsession,analysis,empathy"
BH036,Meta,UI/UX Designer,Behavioral,Hard,Feedback,Describe a time when you gave constructive feedback to a colleague.,Feedback;Communication;Empathy;Growth Mindset,"feedback,communication,growth"
HR026,Flipkart,Backend Developer,HR,Easy,Communication,How do you ensure clear communication with your team?,Communication;Teamwork;Collaboration;Professional Values,"communication,teamwork,collaboration"
HR046,Accenture,Business Analyst,HR,Easy,Problem Solving,How do you approach troubleshooting an unfamiliar procedural business bottleneck?,Problem Solving;Critical Thinking;Analytical Skills;Communication,"problem solving,analysis,bottleneck"
BH049,PwC,Software Engineer,Behavioral,Medium,Teamwork,Describe a time when you had to absorb a sudden workload spike because a critical teammate unexpectedly went on medical leave.,Teamwork;Collaboration;Adaptability;Resource Management,"workload,teamwork,resilience"
37,Apple,Data Analyst,Technical,Easy,Statistical Inferences,"Explain the difference between Type I and Type II statistical errors, and how a product analyst evaluates the business trade-offs of shifting significance thresholds.",Type I Error;Type II Error;Statistical Power;Significance Level;Alpha and Beta Thresholds,"Data Analyst, Statistics, Hypothesis Testing, Significance, Analytics"
BH012,Intel,UI/UX Designer,Behavioral,Hard,Feedback,Describe a time when you received critical feedback and how you acted on it.,Feedback;Growth Mindset;Adaptability;Resilience,"feedback,growth mindset,resilience"
HR013,Cisco,Software Engineer,HR,Medium,Work-Life Balance,How do you maintain work-life balance?,Work-Life Balance;Time Management;Stress Management;Professional Values,"work-life balance,time management,stress"
SD040,Adobe,Machine Learning Engineer,System Design,Medium,Authentication,How would you design authentication for ML model APIs?,Authentication;OAuth;Token Management;Scalability,"authentication,ml,api"
12,Intel,DevOps Engineer,Technical,Medium,CI/CD Pipelines,How do you implement immutable infrastructure using containerization and infrastructure-as-code to prevent configuration drift across microservices?,Immutable Infrastructure;Configuration Drift;Infrastructure as Code;Docker;Continuous Deployment,"DevOps, IaC, Terraform, Containerization, Configuration Drift"
AI075,Apple,Data Scientist,AI/ML,Easy,Graph Representation Learning,"What is the structural difference between Node2Vec and DeepWalk regarding graph exploration strategies, and how do return and in-out parameters balance macro- versus micro-view embeddings?",Node2Vec;DeepWalk;Random walk exploration;BFS vs DFS;Graph embeddings,"node2vec,graph embeddings,deepwalk,gnn"
HR049,PwC,Software Engineer,HR,Medium,Stress Management,Describe how you stay productive and maintain operational focus when project timelines shrink unexpectedly.,Stress Management;Time Management;Adaptability;Resilience,"stress,timeline,productivity"
28,Zomato,Data Scientist,Technical,Medium,Experimentation,How do you design a robust A/B testing experiment for a hyper-local marketplace app when network effects risk spilling variants from treated entities onto control groups?,A/B Testing;Network Spillovers;Cluster Randomization;Statistical Power;Interference,"Data Science, A/B Testing, Experimentation, Network Effects, Analytics"
HR006,Netflix,Machine Learning Engineer,HR,Hard,Why This Company,Why do you want to work at Netflix instead of its competitors?,Company Fit;Motivation;Work Culture;Career Goals,"company fit,motivation,netflix"
5,Netflix,Site Reliability Engineer,Technical,Hard,Fault Tolerance,How does Netflix leverage automated canary analysis and chaos engineering principles to safely validate regional failovers without service disruption?,Chaos Engineering;Canary Deployment;Regional Failover;Blast Radius;Resilience,"Chaos Engineering, SRE, Resilience, Canary, High Availability"
SD023,Capgemini,Data Engineer,System Design,Medium,Storage Systems,How would you design a scalable storage system for large datasets?,Storage Systems;Replication;Sharding;Consistency,"storage,scalability,datasets"
33,Google,Software Engineer,Technical,Hard,Distributed Systems,"Explain how the Paxos consensus algorithm guarantees safety and consensus across a distributed, partitioned system despite message loss or reordering.",Paxos Consensus;Quorums;Split-Brain Problem;State Machine Replication;Distributed Safety,"Distributed Systems, Consensus, Paxos, Fault Tolerance, Backend"
SD045,Cisco,DevOps Engineer,System Design,Medium,Microservices,How would you design a resilient service discovery layer within an enterprise microservices network?,Service Discovery;Consul;Health Checking;Distributed Consensus;Client-Side Routing,"microservices,devops,networking"
HR029,Paytm,Data Scientist,HR,Easy,Strengths,What strengths make you a good fit for this role?,Strengths;Role Fit;Self Awareness;Professional Values,"strengths,role fit,self awareness"
SD039,NVIDIA,Data Engineer,System Design,Hard,Search Systems,How would you design a search system for scientific datasets?,Search Systems;Indexing;Ranking;Scalability,"search,datasets,scientific"
BH013,Cisco,Software Engineer,Behavioral,Medium,Problem Solving,Explain how you solved a complex problem that impacted your team.,Problem Solving;Collaboration;Innovation;Ownership,"problem solving,collaboration,ownership"
SD036,Meta,Cloud Engineer,System Design,Hard,Disaster Recovery,How would you design disaster recovery for a global social network?,Disaster Recovery;Replication;Failover;Backups,"disaster recovery,social network,global"
SD029,Paytm,DevOps Engineer,System Design,Medium,Kafka,How would you design a Kafka-based event streaming system?,Kafka;Message Queues;Scalability;Fault Tolerance,"kafka,streaming,events"
AI057,Infosys,Generative AI Engineer,AI/ML,Easy,LLM Watermarking,Explain the greenlist/redlist token selection heuristic used in soft LLM watermarking algorithms to detect machine-generated text without changing perplexity significantly.,LLM watermarking;Greenlist tokens;Pseudorandom number generator;Statistical detection;Text provenance,"watermarking,llm safety,text generation,generative ai"
AI006,Netflix,Machine Learning Engineer,AI/ML,Hard,Computer Vision,How does the anchor-free architecture of modern object detection models eliminate design limitations introduced by traditional anchor-based frameworks?,Anchor-Free Detection;Object Detection;Bounding Box Regression;Feature Pyramid Networks;Centerness Loss,"computer vision,object detection,cnn,deep learning"
BH021,Wipro,DevOps Engineer,Behavioral,Hard,Ethics,Describe a time when you faced an ethical dilemma at work.,Ethics;Decision Making;Integrity;Accountability,"ethics,integrity,decision making"
HR043,IBM,Data Engineer,HR,Medium,Adaptability,How do you adapt to new tools or processes?,Adaptability;Learning;Flexibility;Resilience,"adaptability,learning,flexibility"
BH015,Deloitte,Frontend Developer,Behavioral,Hard,Leadership,Describe a time when you motivated your team during a challenging project.,Leadership;Motivation;Teamwork;Communication,"leadership,motivation,teamwork"
45,Cisco,Automation Test Engineer,Technical,Medium,API Testing Architecture,How do you design an enterprise-level contract testing framework using tools like Pact to validate API microservice integrations asynchronously?,Contract Testing;Pact Framework;Consumer-Driven Contracts;API Endpoints Integration;Microservices Testing,"QA, Contract Testing, Pact, API Automation, Microservices"
HR016,EY,Full Stack Developer,HR,Medium,Conflict Handling,How do you handle conflicts in the workplace?,Conflict Handling;Communication;Empathy;Negotiation,"conflict,communication,negotiation"
41,Oracle,Cloud Engineer,Technical,Medium,Cloud Storage Systems,"Compare block storage, file storage, and object storage systems regarding latency, data accessibility mechanisms, and horizontal scalability limitations.",Block Storage;Object Storage;Network File Systems;Latency Profiles;Scalability Limitations,"Cloud Infrastructure, Storage Systems, Object Storage, Block Storage, SAN"
SD024,Cognizant,Machine Learning Engineer,System Design,Easy,Search Systems,How would you design a search system for e-commerce?,Search Systems;Indexing;Ranking;Scalability,"search,e-commerce,indexing"
HR004,Meta,Full Stack Developer,HR,Medium,Weaknesses,What is a weakness you are currently working to improve?,Weaknesses;Self Awareness;Growth Mindset;Adaptability,"weaknesses,growth mindset,self awareness"
24,Cognizant,UI/UX Designer,Technical,Medium,Design Systems,How do you establish typographic scales and tokenized design components to ensure seamless accessibility and visual consistency across responsive multi-device digital platforms?,Design Tokens;Typographic Hierarchy;Accessibility (WCAG);Responsive Design;Component Design,"UI/UX, Design System, Accessibility, Typography, Figma"
AI012,Intel,Data Scientist,AI/ML,Hard,Reinforcement Learning,"Detail what causes sample inefficiency and variance instabilities in policy gradient reinforcement learning methods, and how does Proximal Policy Optimization mitigate them?",Policy Gradient;Sample Inefficiency;Proximal Policy Optimization;Clipped Objective Function;Trust Region,"reinforcement learning,ppo,policy gradient,actor-critic"
HR034,Microsoft,Business Analyst,HR,Medium,Salary Expectations,How do you approach salary discussions?,Salary Expectations;Negotiation;Professional Values;Career Growth,"salary,negotiation,career"
BH032,Meesho,Cloud Engineer,Behavioral,Easy,Communication,Share how you communicated effectively with cross-functional teams.,Communication;Collaboration;Stakeholder Management;Adaptability,"communication,cross-functional,collaboration"
40,Adobe,Product Manager,Technical,Medium,Product Discovery,"How do you prioritize a product backlog containing conflicting technical debt improvements, feature additions, and security compliance items using frameworks like RICE?",RICE Framework;Product Prioritization;Technical Debt;Feature Backlog;Stakeholder Trade-offs,"Product Management, RICE, Product Backlog, Technical Debt, Roadmap"
AI010,Salesforce,Generative AI Engineer,AI/ML,Easy,Explainable AI,"Explain the axiom of Efficiency in Shapley values, and why Integrated Gradients satisfies certain theoretical properties that standard saliency maps fail to preserve.",Shapley Values;Integrated Gradients;Axiomatic Attribution;Saliency Maps;Model Interpretability,"explainable ai,shap,integrated gradients,deep learning"
48,EY,Data Engineer,Technical,Hard,Stream Processing,"Explain how distributed real-time processing stream systems handle late-arriving data packets using watermarks, event time, and processing time paradigms.",Watermarking;Event Time vs Processing Time;Late-Arriving Data;Windowing Functions;Distributed Stream Processing,"Data Engineering, Apache Flink, Streaming, Watermarks, Big Data"
BH045,Cisco,DevOps Engineer,Behavioral,Easy,Mentorship,Share an example of how you brought a non-technical team member up to speed on CI/CD principles.,Mentorship;Communication;Clarity;Teamwork,"mentorship,devops,learning"
HR041,Oracle,Data Scientist,HR,Easy,Leadership Potential,What qualities make you a potential leader?,Leadership Potential;Motivation;Decision Making;Professional Values,"leadership,qualities,motivation"
HR012,Intel,UI/UX Designer,HR,Hard,Learning,How do you keep your skills updated in a fast-changing industry?,Learning;Adaptability;Growth Mindset;Professional Values,"learning,adaptability,growth"
44,Intel,Software Engineer,Technical,Medium,Compiler Design,"What is the structural difference between Just-In-Time (JIT) compilation and Ahead-Of-Time (AOT) compilation, and how do they balance startup overhead against runtime performance?",JIT compilation;AOT compilation;Runtime optimization;Dynamic profile analysis;Startup execution speed,"Compiler, JIT, AOT, Performance Optimization, Systems Programming"
SD046,Accenture,Site Reliability Engineer,System Design,Easy,API Design,What are the fundamental criteria for selecting an API gateway in a multi-tenant cloud environment?,API Gateway;Multi-Tenancy;Traffic Throttling;Request Routing;Reverse Proxy,"api design,gateway,cloud"
HR033,Google,DevOps Engineer,HR,Hard,Why This Role,Why do you think you are suited for this role?,Role Fit;Strengths;Motivation;Professional Values,"role fit,strengths,motivation"
4,Meta,Machine Learning Engineer,Technical,Hard,Recommendation Systems,How does Meta handle the exploitation-exploration trade-off and the cold-start problem in multi-billion parameter deep learning recommendation models like DLRM?,DLRM;Cold-start problem;Exploration-exploitation;Embedding layers;Negative sampling,"DLRM, Recommendation, Embeddings, Cold Start, Personalization"
SD006,Netflix,Site Reliability Engineer,System Design,Hard,Fault Tolerance,How would you design a system to be fault tolerant against regional outages?,Fault Tolerance;Replication;Failover;Disaster Recovery,"fault tolerance,failover,replication"
BH004,Meta,Full Stack Developer,Behavioral,Medium,Leadership,Describe a situation where you had to lead a project without formal authority.,Leadership;Influence;Decision Making;Collaboration,"leadership,influence,decision making"
SD034,Microsoft,Backend Developer,System Design,Medium,Replication,How would you design replication for a financial transaction system?,Replication;Consistency;Latency;High Availability,"replication,finance,transactions"
AI058,TCS,Data Engineer,AI/ML,Medium,Contrastive Learning,How does the NT-Xent (Normalized Temperature-scaled Cross Entropy) loss in SimCLR discourage representation collapse in self-supervised learning pipelines?,NT-Xent loss;SimCLR;Representation collapse;Data augmentation;Temperature scaling,"contrastive learning,simclr,self-supervised learning,ssl"
HR044,Intel,Cloud Engineer,HR,Easy,Achievements,What achievement best demonstrates your skills?,Achievements;Motivation;Career Growth;Professional Values,"achievements,skills,career"
AI063,Tech Mahindra,Data Engineer,AI/ML,Easy,Continual Learning,How do regularization-based approaches like Elastic Weight Consolidation (EWC) calculate parameter importance to mitigate catastrophic forgetting in deep networks?,Catastrophic forgetting;Elastic Weight Consolidation;Fisher Information Matrix;Continual learning;Weight regularization,"continual learning,ewc,catastrophic forgetting"
50,Swiggy,Full Stack Developer,Technical,Medium,Distributed Caching,"What strategies govern cache-aside, write-through, and write-behind caching models, and how do they impact data stale thresholds during heavy inventory write operations?",Cache-aside model;Write-through cache;Write-behind cache;Cache eviction policies;Data eventual consistency,"Full Stack, Redis, Caching Patterns, Database Consistency, System Design"
HR014,Accenture,Backend Developer,HR,Easy,Teamwork,Can you share an example of successful teamwork?,Teamwork;Collaboration;Communication;Conflict Handling,"teamwork,collaboration,communication"
BH031,Razorpay,Data Engineer,Behavioral,Medium,Ownership,Explain how you took ownership of a critical project.,Ownership;Accountability;Leadership;Problem Solving,"ownership,accountability,leadership"
35,Amazon,Machine Learning Engineer,Technical,Hard,MLOps,"How do you identify data drift and concept drift in a deployed production pricing model, and what strategies dictate an automated retraining schedule?",Data Drift;Concept Drift;Population Stability Index;Model Monitoring;Automated Retraining,"MLOps, Data Drift, Concept Drift, Production ML, Monitoring"
AI007,NVIDIA,Data Scientist,AI/ML,Easy,Recommendation Systems,How do deep learning recommendation architectures handle cold-start entities using multi-modal side-information features without destabilizing the embedding matrix spaces?,Deep Recommendation;Cold-Start;Embedding Regularization;Side Information;Two-Tower Models,"recommendation systems,embeddings,deep learning,dlrm"
8,Adobe,Frontend Developer,Technical,Medium,DOM Rendering,How does the Virtual DOM reconciliation algorithm optimize browser paint cycles during intensive graphical asset manipulations in web applications?,Virtual DOM;Reconciliation algorithm;Browser paint;Diffing algorithm;DOM manipulation,"Frontend, React, DOM, Rendering, Performance"
HR022,HCLTech,Business Analyst,HR,Medium,Ethics,How do you ensure ethical practices in your work?,Ethics;Integrity;Professional Values;Accountability,"ethics,integrity,values"
SD011,IBM,Full Stack Developer,System Design,Hard,CAP Theorem,Explain how CAP theorem impacts distributed database design.,CAP Theorem;Consistency;Availability;Partition Tolerance,"cap theorem,databases,distributed"
BH042,Salesforce,Machine Learning Engineer,Behavioral,Medium,Ownership,Explain how you evaluated and chose a specific validation strategy for a model when team alignment was split.,Ownership;Accountability;Decision Making;Model Evaluation,"model evaluation,ownership,decision making"
BH034,Microsoft,Business Analyst,Behavioral,Medium,Prioritization,Explain how you prioritized tasks when faced with competing deadlines.,Prioritization;Time Management;Decision Making;Accountability,"prioritization,time management,decision making"
AI054,EY,AI Engineer,AI/ML,Easy,Graph Neural Networks,Explain the over-smoothing problem in deep Graph Convolutional Networks (GCNs) and how jump knowledge networks or APPNP architectures prevent it.,Over-smoothing;Graph Convolution;Laplacian smoothing;Node embedding convergence;APPNP,"gnn,gcn,graph neural networks,over-smoothing"
AI059,Wipro,AI Engineer,AI/ML,Hard,Knowledge Distillation,"What is the purpose of the temperature parameter in logit-based knowledge distillation, and how does it manipulate the dark knowledge of the teacher model?",Knowledge distillation;Logit smoothing;Dark knowledge;Soft targets;Teacher-student framework,"knowledge distillation,model compression,logits,deep learning"
BH040,Adobe,Full Stack Developer,Behavioral,Medium,Handling Failure,Explain how you handled failure in a project and what you learned.,Handling Failure;Resilience;Learning from Mistakes;Adaptability,"failure,learning,resilience"
9,Oracle,Backend Developer,Technical,Hard,Database Concurrency,Explain how Multi-Version Concurrency Control (MVCC) prevents dirty reads and non-repeatable reads without using heavy table-level locks.,MVCC;Isolation levels;Dirty reads;Non-repeatable reads;Locking mechanisms,"Database, MVCC, Concurrency, ACID, Transactions"
14,Accenture,Business Analyst,Technical,Easy,Requirements Gathering,What techniques do you use to map out a client's legacy business processes and identify bottlenecks during an enterprise-wide digital transformation discovery phase?,Process Mapping;Gap Analysis;Stakeholder Interviews;Bottleneck Identification;Digital Transformation,"Business Analysis, Process Mapping, Requirement Gathering, Gap Analysis"
BH010,Salesforce,Business Analyst,Behavioral,Medium,Stakeholder Management,Explain how you managed conflicting priorities among stakeholders.,Stakeholder Management;Negotiation;Communication;Prioritization,"stakeholders,negotiation,prioritization"
AI016,EY,Machine Learning Engineer,AI/ML,Easy,Prompt Engineering,"What is the cognitive and cognitive-computational rationale behind Chain-of-Thought prompting strategies, and how does it dynamically leverage token computational generation spaces?",Chain-of-Thought;Autoregressive Generation;Hidden State Intermediates;In-Context Learning;Prompt Design,"prompt engineering,chain of thought,llm,in-context learning"
SD032,Meesho,Machine Learning Engineer,System Design,Medium,Streaming Systems,How would you design a streaming system for recommendation engines?,Streaming Systems;Low Latency;Scalability;Fault Tolerance,"streaming,recommendation,ml"
18,KPMG,Automation Test Engineer,Technical,Medium,Test Automation Strategy,How do you structure a hybrid test automation framework to support multi-platform application testing while maintaining clean separation between test logic and UI elements?,Page Object Pattern;Data-Driven Testing;Hybrid Framework;Separation of Concerns;Test Maintainability,"QA, Automation, Hybrid Framework, Page Object Model, Test Strategy"
HR017,PwC,Data Scientist,HR,Easy,Adaptability,Give an example of how you adapted to a major change.,Adaptability;Flexibility;Resilience;Problem Solving,"adaptability,flexibility,resilience"
BH023,Capgemini,Product Manager,Behavioral,Easy,Handling Success,Share how you handled success after achieving a major milestone.,Handling Success;Humility;Teamwork;Accountability,"success,teamwork,accountability"
AI051,Cisco,Machine Learning Engineer,AI/ML,Easy,Mixture of Experts (MoE),"How do you mitigate token routing collapse in Sparsely-Gated Mixture-of-Experts architectures, and what is the role of the auxiliary load balancing loss?",Router collapse;Auxiliary loss;Sparsely-Gated MoE;Token distribution;Expert capacity,"moe,mixture of experts,llm,load balancing"
SD035,Amazon,Full Stack Developer,System Design,Easy,Monitoring,How would you design monitoring for a microservices-based application?,Monitoring;Metrics;Logging;Alerting,"monitoring,microservices,logging"
AI005,Apple,Generative AI Engineer,AI/ML,Medium,Vector Databases,Compare the performance and recall trade-offs of HNSW index structures versus IVF-PQ vector index quantizations during massive scale nearest-neighbor searches.,Hierarchical Navigable Small World;Inverted File Product Quantization;Approximate Nearest Neighbors;Recall-Latency Trade-off;Vector Quantization,"vector database,hnsw,ivfpq,ann,embeddings"
AI061,Capgemini,Machine Learning Engineer,AI/ML,Medium,Model Parallelism,Explain the synchronization and pipeline bubble differences between 1D Megatron-style Tensor Parallelism and Pipeline Parallelism during massive model distributed training.,Tensor Parallelism;Pipeline Parallelism;Pipeline Bubble;All-Reduce communication;Megatron-LM,"distributed training,tensor parallel,pipeline parallel,mlops"
BH014,Accenture,Backend Developer,Behavioral,Easy,Handling Failure,Share an example of a failure and how you recovered from it.,Handling Failure;Resilience;Learning from Mistakes;Adaptability,"failure,resilience,learning"
BH005,Apple,Data Scientist,Behavioral,Easy,Communication,Explain how you communicated complex data insights to a non-technical audience.,Communication;Clarity;Adaptability;Stakeholder Management,"communication,data,stakeholders"
SD008,Adobe,Machine Learning Engineer,System Design,Hard,Streaming Systems,How would you design a real-time streaming system for ML model inference?,Streaming Systems;Low Latency;Scalability;Fault Tolerance,"streaming,real-time,ml"
BH001,Google,Software Engineer,Behavioral,Easy,Teamwork,Describe a time when you collaborated with a team to deliver a project under tight deadlines.,Teamwork;Communication;Time Management;Collaboration,"teamwork,communication,deadline"
AI070,Meesho,Data Scientist,AI/ML,Medium,Anomaly Detection,"Why do classic autoencoders struggle with reconstruction-based anomaly detection when anomalies present high structural similarity to normal patterns, and how do memory-augmented autoencoders solve this?",Reconstruction error;Memory-augmented autoencoder;Anomaly detection;Latent space representation;Identity mapping bypass,"anomaly detection,autoencoder,unsupervised learning"
HR025,Tech Mahindra,Software Engineer,HR,Medium,Availability,When would you be available to start?,Availability;Flexibility;Professional Values;Career Goals,"availability,start,flexibility"
AI009,Oracle,Data Engineer,AI/ML,Hard,Model Deployment,"How do KV caching memory strategies affect inference batch size dynamics, throughput optimizations, and hardware constraint scaling for serving autoregressive LLMs?",KV Caching;Autoregressive Inference;Memory Bandwidth Bound;PagedAttention;Inference Throughput,"model deployment,kv cache,llm,inference"
HR040,Adobe,Full Stack Developer,HR,Medium,Teamwork,How do you contribute to team success?,Teamwork;Collaboration;Communication;Professional Values,"teamwork,collaboration,success"
AI077,NVIDIA,Generative AI Engineer,AI/ML,Hard,Speech Recognition,Explain the alignment problem in automated speech recognition and how Connectionist Temporal Classification (CTC) loss utilizes blank tokens to align unsegmented audio frames with text sequences.,CTC loss;Alignment problem;Blank tokens;Many-to-one mapping;Dynamic programming,"speech recognition,ctc loss,audio ml,nlp"
AI008,Adobe,AI Engineer,AI/ML,Medium,MLOps,What specific metrics and statistical tests would you use to distinguish between sudden feature pipeline drift and gradual real-world target concept drift over time?,Feature Drift;Concept Drift;Kolmogorov-Smirnov Test;Population Stability Index;Data Monitoring,"mlops,data drift,concept drift,monitoring"
AI052,Accenture,Generative AI Engineer,AI/ML,Medium,Diffusion Models,Explain the structural and mathematical distinction between the forward noise injection process and the reverse denoising score matching process in DDPMs.,DDPM;Markov chain;Score matching;Denoising;Gaussian noise,"diffusion,generative models,ddpm,computer vision"
HR020,TCS,Cloud Engineer,HR,Easy,Stress Management,How do you manage stress during high-pressure situations?,Stress Management;Resilience;Adaptability;Work-Life Balance,"stress management,resilience,adaptability"
BH009,Oracle,DevOps Engineer,Behavioral,Hard,Decision Making,Describe a time when you had to make a difficult decision with limited information.,Decision Making;Risk Management;Ownership;Accountability,"decision making,risk,ownership"
49,PwC,Generative AI Engineer,Technical,Hard,Retrieval-Augmented Generation,How do you mitigate vector search cross-encoder latency trade-offs while designing an enterprise Retrieval-Augmented Generation (RAG) platform with multi-stage ranking?,Retrieval-Augmented Generation;Bi-encoders vs Cross-encoders;Vector Embeddings;Semantic Search;Reranking Pipeline,"Generative AI, RAG, Vector Search, Semantic Search, Re-ranking"
BH039,NVIDIA,Frontend Developer,Behavioral,Hard,Ethics,Describe a time when you stood up for ethical practices.,Ethics;Integrity;Accountability;Decision Making,"ethics,integrity,accountability"
22,HCLTech,Python Developer,Technical,Medium,Concurrency,"How does the Global Interpreter Lock (GIL) impact multi-threaded performance in Python, and when should you choose multiprocessing over multithreading?",Global Interpreter Lock;Multiprocessing;Multithreading;CPU-bound vs IO-bound;Asynchronous programming,"Python, GIL, Multithreading, Concurrency, Parallelism"
BH008,Adobe,Cloud Engineer,Behavioral,Easy,Customer Obsession,Share an example of how you prioritized customer needs in your work.,Customer Obsession;Empathy;Problem Solving;Accountability,"customer obsession,empathy,accountability"
AI004,Meta,Data Engineer,AI/ML,Easy,Fine-tuning,"What is the mathematical rationale behind using low-rank matrices in LoRA, and how do you determine the optimal rank value parameter configuration?",Low-Rank Adaptation;Intrinsic Rank;Weight Update Matrix;Parameter Efficiency;Singular Value Decomposition,"lora,fine-tuning,peft,llm"
HR011,IBM,Product Manager,HR,Easy,Career Growth,What are your career growth aspirations?,Career Growth;Motivation;Long-Term Vision;Professional Values,"career growth,aspirations,motivation"
AI073,Amazon,Data Engineer,AI/ML,Medium,Time Series Segmentation,How do matrix profile algorithms like STUMPY identify structural regimes and recurring motifs within long continuous un-annotated time-series streams?,Matrix Profile;Time Series Motifs;Regime Detection;Distance Profile;Nearest Neighbor Subsequences,"time series,matrix profile,motif discovery,analytics"
HR038,Netflix,Backend Developer,HR,Easy,Learning,What new skills have you learned recently?,Learning;Growth Mindset;Adaptability;Professional Values,"learning,growth,adaptability"
HR042,Salesforce,Machine Learning Engineer,HR,Hard,Conflict Handling,Describe a time you resolved a workplace conflict.,Conflict Handling;Communication;Negotiation;Empathy,"conflict,communication,negotiation"
SD030,PhonePe,Site Reliability Engineer,System Design,Easy,RabbitMQ,How would you design a RabbitMQ-based messaging system?,RabbitMQ;Message Queues;Reliability;Scalability,"rabbitmq,messaging,queues"
38,Netflix,Backend Developer,Technical,Hard,Streaming Protocols,How do dynamic adaptive streaming protocols like DASH and HLS adjust segment bitrates dynamically based on fluctuations in edge-network client throughput?,MPEG-DASH;HTTP Live Streaming;Bitrate Adaptation;Video Chunking;Network Throughput Estimation,"Streaming, Video Architecture, HLS, DASH, Backend"
HR008,Adobe,Cloud Engineer,HR,Easy,Salary Expectations,What are your salary expectations for this role?,Salary Expectations;Professional Values;Negotiation;Career Growth,"salary,expectations,negotiation"
AI066,Zomato,Machine Learning Engineer,AI/ML,Easy,Object Tracking,Explain the architectural evolution from deep sort appearance descriptors to modern transformer-based global association structures in Multi-Object Tracking (MOT).,Multi-Object Tracking;Kalman Filtering;Data Association;Deep SORT;Trackers-by-detection,"computer vision,object tracking,deep sort,mot"
2,Microsoft,Generative AI Engineer,Technical,Hard,LLM Fine-tuning,Explain the mathematical distinction between full fine-tuning and Low-Rank Adaptation (LoRA) in terms of parameter updates and weight matrices.,Low-Rank Adaptation;Intrinsic rank;Parameter efficiency;Weight decomposition;Fine-tuning,"LoRA, PEFT, Generative AI, LLM, Quantization"
BH003,Amazon,Frontend Developer,Behavioral,Hard,Conflict Resolution,Share an experience where you had to resolve a conflict within your team.,Conflict Resolution;Communication;Empathy;Negotiation,"conflict resolution,teamwork,negotiation"
SD050,KPMG,Backend Developer,System Design,Hard,Message Queues,How would you design an ordered message processing engine over a distributed broker topology when consumers scale dynamically?,Message Ordering;Partitioning;Consumer Groups;Distributed Coordination;Idempotency,"message queues,distributed systems,scalability"
SD031,Razorpay,Data Engineer,System Design,Hard,Cloud Architecture,How would you design a multi-cloud architecture for resilience?,Cloud Architecture;Multi-Cloud;Resilience;Scalability,"cloud,multi-cloud,resilience"
HR002,Microsoft,Backend Developer,HR,Medium,Career Goals,Where do you see yourself in five years?,Career Goals;Long-Term Vision;Motivation;Professional Growth,"career goals,long-term,motivation"
SD004,Meta,Cloud Engineer,System Design,Medium,CDN,How would you design a CDN to serve static assets globally?,CDN;Edge Servers;Latency Reduction;Content Replication,"cdn,global,latency"
BH050,KPMG,Backend Developer,Behavioral,Hard,Leadership,"Give an example of a project where structural technical alignment between teams fell completely apart, and how you engineered a common architectural path.",Leadership;Influence;Conflict Resolution;Architecture,"alignment,leadership,architecture"
SD017,PwC,Software Engineer,System Design,Easy,Logging,What are the key considerations in designing a logging system?,Logging;Centralization;Scalability;Retention,"logging,system,scalability"
BH038,Netflix,Backend Developer,Behavioral,Easy,Teamwork,Share how you collaborated with a distributed team.,Teamwork;Communication;Adaptability;Collaboration,"teamwork,distributed,collaboration"
AI003,Amazon,AI Engineer,AI/ML,Hard,Large Language Models,Explain the architectural advantages and trade-offs of using Rotary Position Embeddings (RoPE) compared to absolute positional encodings in modern LLMs.,Rotary Position Embeddings;Positional Encoding;Context Length Extrapolation;Attention Matrix;Relative Distance,"llm,rope,positional encoding,transformers"
BH025,Tech Mahindra,Software Engineer,Behavioral,Medium,Leadership,Explain how you influenced your team to adopt a new approach.,Leadership;Influence;Communication;Adaptability,"leadership,influence,adaptability"
AI015,Deloitte,Generative AI Engineer,AI/ML,Hard,Model Evaluation,"When dealing with extreme target class imbalances, why can the Area Under the Precision-Recall Curve serve as a more reliable metric than the ROC-AUC score?",Precision-Recall Curve;ROC-AUC;Class Imbalance;True Negative Rate;Classifier Calibration,"model evaluation,auc,precision,recall,metrics"
AI011,IBM,Machine Learning Engineer,AI/ML,Medium,Time Series Forecasting,Describe how to handle structural breaks and dynamic trend shifts when scaling cross-sectional neural forecasting architectures across highly volatile multi-variate metrics?,Time Series Forecasting;Structural Breaks;Multi-variate Forecasting;Autoregressive Models;Domain Adaptation,"time series,forecasting,neural networks,deep learning"
